Author,Betweenness_Centrality
Pascal Marco Caversaccio,0.0006894038271639085
xinbenlv,0.000964734566521994
Sam Wilson,0.0330747282825308
Hadrien Croubois,0.003081168846263937
Gavin John,0.009097006318124864
g11tech,0.00247096690676047
lightclient,0.11881379915418144
donBarbos,0.0006894038271639085
Micah Zoltu,0.16751056947182985
Matt Galligan,0.0009510236640822737
Dmitriy Fishman,0.0036600828350017403
Pooja Ranjan,0.016521969994033384
William Entriken,0.10020753410482583
Alex Beregszaszi,0.24789131443469428
Nick Johnson,0.0446644320010359
James Ray,0.0016438441742975532
cdetrio,0.0029385500133522124
MattLongCT,0.0007898456274485515
zaq1tomo,0.0006201380220667473
ethers,0.0009232870066583277
Jack Peterson,0.0004235148309908213
Paweł Bylica,0.004606529303128087
Viktor Trón,0.001572763858757779
chriseth,0.0005297157052069879
Dionysis Zindros,0.0010883137960081858
Hudson Jameson,0.0009660755278957417
Jeffrey Wilcke,0.0006583428837537241
null_radix,0.0006583428837537241
Felix Lange,0.0034815946549610166
Giuseppe Bertone,0.001698477791293464
Bruno Škvorc,0.00033950142898585723
Clément Lesaege,0.00033950142898585723
Adrian Ciurdărean,0.00033950142898585723
knarfeh,0.00033950142898585723
Rikard Hjort,0.004466424736304996
Mandar Vaze,0.00033950142898585723
Yoichi Hirai,0.0005394204375836552
Alex Van de Sande,0.0032587312376439526
ligi,0.0160411755283686
Viktor Radchenko,0.000596553730519578
Garcia,0.000596553730519578
Nilang-Decentral,0.000596553730519578
yuzushioh,0.000596553730519578
Daniel Cousens,0.000596553730519578
Jason Carver,0.000596553730519578
Aleš Katona,0.000596553730519578
Piper Merriam,0.001465604082813347
vbuterin,0.021017845104815986
vub,3.8850439079765536e-05
Ronan Sandford,0.0016448310872897278
Jacques Dafflon,0.005152093519181476
wighawag,0.0006254193544569123
Nielsen,0.00021012570065003902
Nick Savers,0.006875362122275672
Christoph Burgdorf,0.0012031714188487272
winsvega,0.0010360012592639468
Matt Luongo,6.802608796685704e-05
Greg Colvin,0.007462873042874395
